timestamp,serverPort,relayDelay
2025-02-14T00:35:49.705Z,3007,2
2025-02-14T00:35:49.714Z,3000,3
2025-02-14T00:35:49.726Z,3000,9
2025-02-14T00:35:49.740Z,3000,2
2025-02-14T00:35:49.755Z,3000,3
2025-02-14T00:35:49.782Z,3002,2
2025-02-14T00:35:49.787Z,3000,2
2025-02-14T00:35:49.798Z,3000,3
2025-02-14T00:35:49.818Z,3000,4
2025-02-14T00:35:49.824Z,3002,4
2025-02-14T00:35:49.828Z,3000,3
2025-02-14T00:35:49.951Z,3007,2
2025-02-14T00:35:49.967Z,3007,2
2025-02-14T00:35:49.972Z,3007,2
2025-02-14T00:35:49.986Z,3007,2
2025-02-14T00:35:50.017Z,3007,2
2025-02-14T00:35:50.031Z,3007,1
2025-02-14T00:35:50.033Z,3007,2
2025-02-14T00:35:50.038Z,3007,2
2025-02-14T00:35:50.047Z,3007,2
2025-02-14T00:35:50.174Z,3007,2
2025-02-14T00:35:50.182Z,3007,2
2025-02-14T00:35:50.193Z,3007,2
2025-02-14T00:35:50.202Z,3007,2
2025-02-14T00:35:50.211Z,3000,1
2025-02-14T00:35:50.216Z,3007,2
2025-02-14T00:35:50.221Z,3000,3
2025-02-14T00:35:50.226Z,3002,3
2025-02-14T00:35:50.231Z,3002,3
2025-02-14T00:35:50.239Z,3000,3
2025-02-14T00:35:50.241Z,3002,3
2025-02-14T00:35:50.249Z,3002,2
2025-02-14T00:35:50.252Z,3000,2
2025-02-14T00:35:50.255Z,3002,3
2025-02-14T00:35:50.257Z,3007,2
2025-02-14T00:35:50.259Z,3002,3
2025-02-14T00:35:50.265Z,3000,1
2025-02-14T00:35:50.268Z,3002,2
2025-02-14T00:35:50.280Z,3007,2
2025-02-14T00:35:50.285Z,3000,2
2025-02-14T00:35:50.296Z,3002,4
2025-02-14T00:35:50.298Z,3000,2
2025-02-14T00:35:50.303Z,3000,1
2025-02-14T00:35:50.308Z,3002,2
2025-02-14T00:35:50.316Z,3000,3
2025-02-14T00:35:50.334Z,3000,2
2025-02-14T00:35:50.336Z,3002,3
2025-02-14T00:35:50.337Z,3000,1
2025-02-14T00:35:50.340Z,3000,1
2025-02-14T00:35:50.343Z,3002,3
2025-02-14T00:35:50.348Z,3000,1
2025-02-14T00:35:50.451Z,3002,4
2025-02-14T00:35:50.462Z,3002,3
2025-02-14T00:35:50.481Z,3002,3
2025-02-14T00:35:50.499Z,3002,3
2025-02-14T00:35:50.520Z,3002,3
2025-02-14T00:35:50.531Z,3002,3
2025-02-14T00:35:50.542Z,3002,3
2025-02-14T00:35:50.549Z,3002,2
2025-02-14T00:35:50.556Z,3002,3
2025-02-14T00:35:50.571Z,3002,3
2025-02-14T00:35:50.585Z,3002,3
2025-02-14T00:35:50.590Z,3002,3
2025-02-14T00:35:50.602Z,3002,6
2025-02-14T00:35:50.611Z,3002,2
2025-02-14T00:35:50.618Z,3002,3
2025-02-14T00:35:50.620Z,3002,3
2025-02-14T00:35:50.627Z,3007,2
2025-02-14T00:35:50.629Z,3002,3
2025-02-14T00:35:50.632Z,3002,3
2025-02-14T00:35:50.638Z,3002,2
2025-02-14T00:35:50.649Z,3002,2
2025-02-14T00:35:50.655Z,3002,3
2025-02-14T00:35:50.661Z,3002,3
2025-02-14T00:35:50.664Z,3002,2
2025-02-14T00:35:50.670Z,3002,3
2025-02-14T00:35:50.675Z,3002,2
2025-02-14T00:35:50.680Z,3002,2
2025-02-14T00:35:50.683Z,3002,3
2025-02-14T00:35:50.691Z,3002,3
2025-02-14T00:35:50.694Z,3007,1
2025-02-14T00:35:50.704Z,3002,3
2025-02-14T00:35:50.705Z,3002,2
2025-02-14T00:35:50.707Z,3007,2
2025-02-14T00:35:50.710Z,3002,2
2025-02-14T00:35:50.715Z,3007,1
2025-02-14T00:35:50.719Z,3002,3
2025-02-14T00:35:50.720Z,3007,2
2025-02-14T00:35:50.724Z,3002,2
2025-02-14T00:35:50.733Z,3007,1
2025-02-14T00:35:50.736Z,3002,3
2025-02-14T00:35:50.742Z,3007,2
2025-02-14T00:35:50.761Z,3002,3
2025-02-14T00:35:50.780Z,3007,2
2025-02-14T00:35:50.788Z,3007,1
2025-02-14T00:35:50.793Z,3002,3
2025-02-14T00:35:50.801Z,3007,2
2025-02-14T00:35:50.812Z,3007,3
2025-02-14T00:35:50.824Z,3007,2
2025-02-14T00:35:50.828Z,3007,1
2025-02-14T00:35:50.835Z,3007,1
2025-02-14T00:35:50.837Z,3002,2
2025-02-14T00:35:50.839Z,3007,2
2025-02-14T00:35:50.846Z,3002,3
2025-02-14T00:35:50.853Z,3007,2
2025-02-14T00:35:50.856Z,3002,3
2025-02-14T00:35:50.864Z,3007,2
2025-02-14T00:35:50.867Z,3002,2
2025-02-14T00:35:50.868Z,3002,3
2025-02-14T00:35:50.872Z,3002,3
2025-02-14T00:35:50.877Z,3002,2
2025-02-14T00:35:50.879Z,3002,3
2025-02-14T00:35:50.880Z,3002,3
2025-02-14T00:35:50.883Z,3002,3
2025-02-14T00:35:50.885Z,3002,3
2025-02-14T00:35:50.892Z,3002,3
2025-02-14T00:35:50.899Z,3002,3
2025-02-14T00:35:50.902Z,3007,1
2025-02-14T00:35:50.905Z,3002,3
2025-02-14T00:35:50.910Z,3007,2
2025-02-14T00:35:50.913Z,3002,3
2025-02-14T00:35:50.918Z,3002,3
2025-02-14T00:35:50.926Z,3007,2
2025-02-14T00:35:50.933Z,3002,2
2025-02-14T00:35:50.937Z,3002,3
2025-02-14T00:35:50.942Z,3007,4
2025-02-14T00:35:50.949Z,3002,3
2025-02-14T00:35:50.954Z,3002,3
2025-02-14T00:35:50.965Z,3002,3
2025-02-14T00:35:50.968Z,3000,3
2025-02-14T00:35:50.986Z,3000,3
2025-02-14T00:35:51.000Z,3000,3
2025-02-14T00:35:51.011Z,3000,1
2025-02-14T00:35:51.016Z,3000,1
2025-02-14T00:35:51.026Z,3000,2
2025-02-14T00:35:51.033Z,3000,2
2025-02-14T00:35:51.039Z,3000,2
2025-02-14T00:35:51.047Z,3000,3
2025-02-14T00:35:51.051Z,3009,3
2025-02-14T00:35:51.055Z,3000,3
2025-02-14T00:35:51.059Z,3002,3
2025-02-14T00:35:51.065Z,3002,2
2025-02-14T00:35:51.067Z,3000,3
2025-02-14T00:35:51.071Z,3002,3
2025-02-14T00:35:51.074Z,3000,2
2025-02-14T00:35:51.079Z,3002,3
2025-02-14T00:35:51.081Z,3000,2
2025-02-14T00:35:51.084Z,3002,3
2025-02-14T00:35:51.086Z,3000,1
2025-02-14T00:35:51.088Z,3002,3
2025-02-14T00:35:51.094Z,3000,2
2025-02-14T00:35:51.096Z,3002,3
2025-02-14T00:35:51.106Z,3000,1
2025-02-14T00:35:51.116Z,3000,1
2025-02-14T00:35:51.119Z,3002,3
2025-02-14T00:35:51.122Z,3000,2
2025-02-14T00:35:51.125Z,3002,3
2025-02-14T00:35:51.163Z,3000,2
2025-02-14T00:35:51.174Z,3000,2
2025-02-14T00:35:51.181Z,3000,1
2025-02-14T00:35:51.185Z,3000,3
2025-02-14T00:35:51.191Z,3000,2
2025-02-14T00:35:51.201Z,3000,2
2025-02-14T00:35:51.210Z,3000,3
2025-02-14T00:35:51.360Z,3007,3
2025-02-14T00:35:51.400Z,3007,7
2025-02-14T00:35:51.422Z,3007,2
2025-02-14T00:35:51.476Z,3007,3
2025-02-14T00:35:51.494Z,3007,3
2025-02-14T00:35:51.497Z,3002,2
2025-02-14T00:35:51.499Z,3007,3
2025-02-14T00:35:51.501Z,3002,3
2025-02-14T00:35:51.512Z,3007,2
2025-02-14T00:35:51.516Z,3002,3
2025-02-14T00:35:51.519Z,3002,3
2025-02-14T00:35:51.533Z,3002,3
2025-02-14T00:35:51.537Z,3002,2
2025-02-14T00:35:51.544Z,3002,2
2025-02-14T00:35:51.552Z,3002,3
2025-02-14T00:35:51.559Z,3002,3
2025-02-14T00:35:51.759Z,3005,3
2025-02-14T00:35:51.763Z,3005,3
2025-02-14T00:35:51.771Z,3005,3
2025-02-14T00:35:51.773Z,3005,2
2025-02-14T00:35:51.778Z,3005,3
2025-02-14T00:35:51.784Z,3005,3
2025-02-14T00:35:51.789Z,3005,3
2025-02-14T00:35:51.801Z,3005,1
2025-02-14T00:35:51.803Z,3005,3
2025-02-14T00:35:51.813Z,3005,2
2025-02-14T00:35:51.816Z,3005,3
2025-02-14T00:35:51.828Z,3005,2
2025-02-14T00:35:51.830Z,3005,1
2025-02-14T00:35:51.838Z,3005,4
2025-02-14T00:35:51.841Z,3005,3
2025-02-14T00:35:51.845Z,3005,3
2025-02-14T00:35:51.850Z,3005,2
2025-02-14T00:35:51.858Z,3005,2
2025-02-14T00:35:51.866Z,3005,2
2025-02-14T00:35:51.872Z,3005,2
2025-02-14T00:35:51.877Z,3005,2
2025-02-14T00:35:51.880Z,3005,2
2025-02-14T00:35:51.882Z,3005,2
2025-02-14T00:35:51.885Z,3005,2
2025-02-14T00:35:52.025Z,3005,2
2025-02-14T00:35:52.036Z,3005,2
2025-02-14T00:35:52.043Z,3005,2
2025-02-14T00:35:52.055Z,3005,3
2025-02-14T00:35:52.066Z,3005,2
2025-02-14T00:35:52.074Z,3005,3
2025-02-14T00:35:52.083Z,3005,2
2025-02-14T00:35:52.096Z,3005,2
2025-02-14T00:35:52.105Z,3005,2
2025-02-14T00:35:52.112Z,3005,2
